message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=3.535153, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.412697211";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.519980, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.396427803";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.623442, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.396410532";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.489636, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.396245146";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.608270, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.380972684";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.504808, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.380878968";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.474463, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.380385725";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.459291, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.364746073";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.489636, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.364695617";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.593097, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.364235309";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.577925, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.348530182";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.474463, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.348445195";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.444119, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.348010391";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.428946, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.332501723";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.562753, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.332140802";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.459291, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.332081118";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.547580, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.316957550";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.444119, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.316738567";"./src/turtle.cpp:update:260"
